Extension,Description
.j2c,JPEG 2000 Code Stream
.j2k,JPEG 2000 Image
.jas,Paint Shop Pro Compressed Graphic
.jbf,Paint Shop Pro Browser Cache
.jbig,Joint Bi-level Image Group File
.jbr,Paint Shop Pro Brushes File
.jfi,JPEG File Interchange
.jfif,JPEG File Interchange Format
.jif,JPEG Image File
.jiff,JPEG Image File Format
.jng,JPEG Network Graphic
.jp2,JPEG 2000 Core Image File
.jpc,JPEG 2000 Code Stream File
.jpe,JPEG Image
.jpeg,JPEG Image File
.jpf,JPEG 2000 Image
.jpg,JPEG Image File
.jpw,World File for JPEG
.jpx,JPEG 2000 Image File
.jtf,JPEG Tagged Interchange Format
.kdc,Kodak Photo-Enhancer File
.kdk,Kodak Proprietary Decimated TIFF Format
.kfx,Kofax Image File
.kodak,Kodak Photo CD File
.kpg,Kai's Power Goo Graphic
.lab,WordPerfect Label Definition File
.lbm,Deluxe Paint Bitmap Image
.lin,AutoCAD Linetype File
.lt2,Poser Light Set File
.ltz,Compressed Poser Light Set File
.lwo,LightWave 3D Object File
.lws,LightWave 3D Scene File
.lxf,LEGO Digital Designer Model File
.ma,Maya Project File
.mac,MacPaint Image
.mag,Access Diagram
.max,PaperPort Scanned Document
.max,OmniPage Scanned Document
.max,3D Studio Max Model File
.mb,Maya Binary Project File
.mbm,Multi Bitmap File
.mc5,Poser 5 Material File
.mc6,Poser 6 Material File
.mcs,Mathcad Image
.mcx,MICRO CADAM-X/6000 Model Data File
.mcz,Compressed Poser Material File
.mdi,Microsoft Document Imaging File
.meb,PRO100 3D Interior Catalog Element
.mesh,3D Mesh Model
.mgf,Materials and Geometry Format
.mgs,MGCSoft Vector Shapes
.mic,Image Composer File
.mip,Multiple Image Print File
.mix,Picture It! Image File
.mix,PhotoDraw Image File
.mma,Master Album Maker Digital Photo Album
.mng,Multiple Network Graphic
.mnm,Character Studio Marker Name File
.model,CATIA 3D Model FIle
.mp,Maya PLE Project File
.mrb,Multiple Resolution Bitmap
.mrw,Minolta Raw Image File
.msk,Paint Shop Pro Mask
.msp,Microsoft Paint Bitmap Image
.mtx,MetaStream Scene File
.mtz,Compressed MetaStream Scene File
.nav,MSN Application Extension
.ncd,Nero Cover Designer Document
.nef,Nikon Raw Image File
.neo,NeoChrome Bitmap Image
.nff,Neutral File Format
.nif,Gamebryo Image
.ntc,Nikon Capture Custom Curves
.ntf,MediaFace II CD Label
.obj,3D Object File
.odc,OpenDocument Chart
.odg,OpenDocument Graphic
.odi,OpenDocument Image
.odif,Open Document Interchange Format
.off,Object File Format
.ola,Online Access File
.omf,OMF Interchange Image File
.opd,OmniPage Document
.opf,FlipAlbum File
.orf,Olympus RAW File
.ota,OTA Bitmap
.otb,Nokia Over The Air Bitmap
.otc,OpenDocument Chart Template
.otg,OpenDocument Graphic Template
.oti,OpenDocument Image Template
.ovw,Cubase WAVE File Overview
.p21,Express STEP Data Model File
.p2z,Compressed Poser Pose File
.p3d,Peak3D 3D Graphics File
.p65,PageMaker 6.5 Document
.pac,STAD Graphic File
.pal,Dr. Halo Color Palette
.pap,PanoramaStudio Project File
.pat,Pattern File
.pat,3D Patch File
.pbm,Portable Bitmap Image
.pc1,Degas Elite Low Res Image File
.pc2,Degas Elite Medium Res Image File
.pc3,Degas Elite High Res Image File
.pc6,PowerCADD 6 Drawing File
.pc7,PowerCADD 7 Drawing File
.pcd,Kodak Photo CD Image File
.pct,Picture File
.pcx,Paintbrush Bitmap Image File
.pd,FlexiSIGN 5 Plotter Document
.pdd,Adobe PhotoDeluxe Image
.pdf,Portable Document Format File
.pdg,Print Designer GOLD File
.pe4,Photo Explorer Thumbnail Archive
.pe4,PhotoImpact Image Archive
.pef,Pentax Electronic File
.pfr,Paint Shop Pro Picture Frame
.pgm,Portable Gray Map Image
.pi1,Degas Low Resolution Image File
